SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE
2026,1643563,Richie,Saunders,Richie Saunders,SG,77.0,6' 5.00'',,,204.80,80.75,6' 8.75'',102.5,8' 6.50'',,8.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643567,Emanuel,Sharp,Emanuel Sharp,SG,74.75,6' 2.75'',,,208.40,75.0,6' 3.00'',98.5,8' 2.50'',,8.0,8.25,27.5,33.0,10.77,2.8,3.19,,,,,,,18-25,,,,,,,,,,,,,19-30,,,,15-25
2026,1643552,Braden,Smith,Braden Smith,PG,70.25,5' 10.25'',,,166.60,75.25,6' 3.25'',93.5,7' 9.50'',,8.25,8.25,31.0,38.5,10.76,2.87,3.23,,,,,,,15-25,,,,,,,,,,,,,20-30,,,,13-25
2026,1643419,Hannes,Steinbach,Hannes Steinbach,C,82.25,6' 10.25'',,,248.00,86.25,7' 2.25'',108.0,9' 0.00'',,9.0,10.0,30.0,35.5,10.9,2.89,3.38,,,,,,,16-25,,,,,,,,,,,,,18-30,,,,9-25
2026,1642892,Bennett,Stirtz,Bennett Stirtz,PG,74.5,6' 2.50'',,,186.20,78.0,6' 6.00'',98.5,8' 2.50'',,8.5,9.75,30.5,37.5,11.25,2.91,3.17,,,,,,,20-25,,,,,,,,,,,,,22-30,,,,16-25
2026,1642887,Andrej,Stojakovic,Andrej Stojakovic,SF,77.5,6' 5.50'',,,206.00,80.25,6' 8.25'',100.0,8' 4.00'',,8.5,10.0,32.0,41.5,10.97,2.89,3.32,,,,,,,11-25,,,,,,,,,,,,,20-30,,,,9-25
2026,1643614,Peter,Suder,Peter Suder,SG,75.75,6' 3.75'',,,213.40,80.0,6' 8.00'',99.5,8' 3.50'',,8.5,9.0,28.5,30.5,11.23,3.14,3.2,,,,,,,13-25,,,,,,,,,,,,,15-30,,,,6-25
2026,1643543,Luigi,Suigo,Luigi Suigo,C,86.75,7' 2.75'',,,289.00,89.5,7' 5.50'',114.0,9' 6.00'',,9.25,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643517,Dailyn,Swain,Dailyn Swain,SF,78.5,6' 6.50'',,,211.20,82.0,6' 10.00'',104.5,8' 8.50'',,8.0,9.25,28.0,36.5,11.25,3.08,3.21,,,,,,,14-25,,,,,,,,,,,,,22-30,,,,12-25
2026,1643535,Tyler,Tanner,Tyler Tanner,PG,70.75,5' 10.75'',,,166.80,76.25,6' 4.25'',93.0,7' 9.00'',,8.25,10.0,32.0,39.0,10.88,2.92,3.23,,,,,,,12-25,,,,,,,,,,,,,25-30,,,,18-25
2026,1643509,Meleek,Thomas,Meleek Thomas,SG,75.0,6' 3.00'',,,189.60,78.75,6' 6.75'',100.0,8' 4.00'',,8.0,7.5,31.5,38.0,11.57,2.97,3.22,,,,,,,14-25,,,,,,,,,,,,,22-30,,,,13-25
2026,1643570,Bruce,Thornton,Bruce Thornton,PG,72.0,6' 0.00'',,,223.00,77.0,6' 5.00'',96.5,8' 0.50'',,8.5,9.0,29.5,35.5,11.55,3.01,3.25,,,,,,,10-25,,,,,,,,,,,,,20-30,,,,17-25
2026,1642870,Milos,Uzan,Milos Uzan,PG,75.0,6' 3.00'',,,185.00,77.0,6' 5.00'',98.0,8' 2.00'',,8.0,9.0,28.0,35.0,10.7,2.87,3.21,,,,,,,17-25,,,,,,,,,,,,,24-30,,,,13-25
2026,1643539,Henri,Veesaar,Henri Veesaar,C,83.25,6' 11.25'',,,227.20,86.0,7' 2.00'',111.0,9' 3.00'',,8.75,9.5,28.0,32.5,11.2,2.92,3.42,,,,,,,11-25,,,,,,,,,,,,,18-30,,,,12-25
2026,1643413,Keaton,Wagler,Keaton Wagler,PG,77.0,6' 5.00'',,,188.00,78.25,6' 6.25'',100.0,8' 4.00'',,8.0,9.25,33.0,36.0,11.05,3.0,3.27,,,,,,,11-25,,,,,,,,,,,,,25-30,,,,12-25
2026,1643410,Caleb,Wilson,Caleb Wilson,PF,81.25,6' 9.25'',,,210.80,84.25,7' 0.25'',108.0,9' 0.00'',,9.0,9.75,34.5,39.5,11.17,3.11,3.23,,,,,,,11-25,,,,,,,,,,,,,19-30,,,,12-25
2026,1643537,Tounde,Yessoufou,Tounde Yessoufou,SG,76.25,6' 4.25'',,,219.80,82.0,6' 10.00'',103.0,8' 7.00'',,8.5,9.0,34.0,38.0,11.09,2.75,3.17,,,,,,,11-25,,,,,,,,,,,,,16-30,,,,10-25
